filename,width,height,class,xmin,ymin,xmax,ymax
c7f1bb64-c649-11ef-966c-70d8235a1a17_png.rf.d967fe9fc061492ec5295d66b87bcb3d.jpg,1024,1024,Old Woman,527,582,538,602
c7f1bb64-c649-11ef-966c-70d8235a1a17_png.rf.d967fe9fc061492ec5295d66b87bcb3d.jpg,1024,1024,Old Man,537,556,550,566
e5f01596-c64c-11ef-8117-70d8235a1a17_png.rf.d4a999dae68b5e7b62121df42095abfe.jpg,1024,1024,Cargo Truck,478,373,543,620
e5f01596-c64c-11ef-8117-70d8235a1a17_png.rf.d4a999dae68b5e7b62121df42095abfe.jpg,1024,1024,SUV,418,627,475,767
3fd11e9b-c653-11ef-8864-70d8235a1a17_png.rf.dba5aa14065d323b702b923c8f155202.jpg,1024,1024,Young Man,643,415,657,441
3fd11e9b-c653-11ef-8864-70d8235a1a17_png.rf.dba5aa14065d323b702b923c8f155202.jpg,1024,1024,Old Man,617,382,629,408
c58898f8-c649-11ef-a28f-70d8235a1a17_png.rf.dbba4ebb18f9b6004d8154cdc8df1f01.jpg,1024,1024,Old Woman,545,644,556,663
c58898f8-c649-11ef-a28f-70d8235a1a17_png.rf.dbba4ebb18f9b6004d8154cdc8df1f01.jpg,1024,1024,Old Man,552,674,566,695
516fec4d-c649-11ef-9670-70d8235a1a17_png.rf.da87d07af5abaad7885a19c878eff84f.jpg,1024,1024,Hatchback,502,341,559,464
516fec4d-c649-11ef-9670-70d8235a1a17_png.rf.da87d07af5abaad7885a19c878eff84f.jpg,1024,1024,Truck,457,568,535,653
5e98c67f-c64d-11ef-8b54-70d8235a1a17_png.rf.d9f09f5bfe93859c6ec12d7955f766ff.jpg,1024,1024,Young Woman,519,465,530,483
5e98c67f-c64d-11ef-8b54-70d8235a1a17_png.rf.d9f09f5bfe93859c6ec12d7955f766ff.jpg,1024,1024,Young Man,499,414,510,443
a43b7571-c64d-11ef-858d-70d8235a1a17_png.rf.dd90df8a7ba359fb24c73cd70edba1fd.jpg,1024,1024,Old Man,368,445,385,464
